asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,decode time,size data decoded,process time,size data processed,encode time,size data encoded,send time,size data sent,offset sent
2023/10/03 06:22:11.522,MyJetsonSc4,input,result,1,47720,90.11,92.42,5860.0,230.549,70.66,922.246,222.57,922.246,15.77,222.347,90.98,222.347,6176
2023/10/03 06:22:11.785,MyJetsonSc4,input,result,2,47721,176.32,177.17,232.33,230.538,67.35,922.246,187.78,922.246,10.37,226.519,79.02,226.519,6177
2023/10/03 06:22:12.070,MyJetsonSc4,input,result,3,47722,187.38,187.56,282.2,230.462,65.55,922.246,185.58,922.246,11.19,235.459,91.51,235.459,6178
2023/10/03 06:22:12.355,MyJetsonSc4,input,result,4,47723,188.5,188.91,271.82,230.311,81.96,922.246,187.81,922.246,10.76,222.051,89.62,222.051,6179
2023/10/03 06:22:12.731,MyJetsonSc4,input,result,5,47724,215.87,216.32,289.52,230.522,64.45,922.246,192.73,922.246,10.32,221.459,188.03,221.459,6180
2023/10/03 06:22:12.908,MyJetsonSc4,input,result,6,47725,184.68,185.59,267.71,230.343,64.5,922.246,188.87,922.246,10.49,217.651,95.25,217.651,6181
2023/10/03 06:22:13.166,MyJetsonSc4,input,result,7,47726,179.98,180.39,274.68,230.546,69.73,922.246,187.03,922.246,9.48,213.003,76.88,213.003,6182
2023/10/03 06:22:13.452,MyJetsonSc4,input,result,8,47727,108.79,109.52,332.8,230.542,66.06,922.246,190.52,922.246,11.25,207.875,88.23,207.875,6183
2023/10/03 06:22:13.734,MyJetsonSc4,input,result,9,47728,169.4,169.96,217.48,230.491,73.48,922.246,189.12,922.246,10.59,216.095,88.74,216.095,6184
2023/10/03 06:22:14.019,MyJetsonSc4,input,result,10,47729,203.94,204.53,270.75,230.568,62.57,922.246,198.1,922.246,16.37,213.435,88.25,213.435,6185
2023/10/03 06:22:14.289,MyJetsonSc4,input,result,11,47730,253.12,253.2,276.86,230.29,70.86,922.246,183.87,922.246,12.59,214.027,80.56,214.027,6186
2023/10/03 06:22:14.584,MyJetsonSc4,input,result,12,47731,213.17,213.29,290.26,230.471,65.91,922.246,195.61,922.246,14.62,202.823,93.68,202.823,6187
2023/10/03 06:22:14.838,MyJetsonSc4,input,result,13,47732,267.32,268.02,267.66,230.533,70.73,922.246,179.92,922.246,10.09,210.899,78.43,210.899,6188
2023/10/03 06:22:15.126,MyJetsonSc4,input,result,14,47733,241.19,242.04,288.26,230.42,68.61,922.246,192.21,922.246,10.96,209.171,84.43,209.171,6189
2023/10/03 06:22:15.433,MyJetsonSc4,input,result,15,47734,163.64,163.75,275.03,230.443,68.12,922.246,206.56,922.246,10.48,206.739,96.62,206.739,6190
2023/10/03 06:22:15.676,MyJetsonSc4,input,result,16,47735,191.39,191.35,270.25,230.262,66.78,922.246,172.47,922.246,10.24,201.923,83.32,201.923,6191
2023/10/03 06:22:15.953,MyJetsonSc4,input,result,17,47736,126.21,127.12,315.09,230.47,63.16,922.246,189.39,922.246,10.16,202.963,81.99,202.963,6192
2023/10/03 06:22:16.248,MyJetsonSc4,input,result,18,47737,187.19,187.18,241.36,230.493,71.81,922.246,183.13,922.246,12.34,204.511,99.53,204.511,6193
2023/10/03 06:22:16.567,MyJetsonSc4,input,result,19,47738,240.34,240.96,278.08,230.572,80.39,922.246,203.68,922.246,17.35,202.055,101.54,202.055,6194
2023/10/03 06:22:16.751,MyJetsonSc4,input,result,20,47739,167.29,167.29,311.76,230.191,72.03,922.246,186.26,922.246,11.3,202.967,6.65,202.967,6195
2023/10/03 06:22:17.143,MyJetsonSc4,input,result,21,47740,89.8,89.8,391.79,230.515,72.96,922.246,177.05,922.246,18.29,200.531,89.07,200.531,6196
2023/10/03 06:22:17.428,MyJetsonSc4,input,result,22,47741,186.82,187.3,195.92,230.457,74.67,922.246,170.53,922.246,25.77,203.831,93.44,203.831,6197
2023/10/03 06:22:17.705,MyJetsonSc4,input,result,23,47742,246.53,246.98,277.09,230.528,77.98,922.246,190.71,922.246,11.13,203.247,80.14,203.247,6198
2023/10/03 06:22:18.002,MyJetsonSc4,input,result,24,47743,328.06,328.36,170.09,230.284,65.5,922.246,188.84,922.246,14.45,203.471,98.6,203.471,6199
2023/10/03 06:22:18.272,MyJetsonSc4,input,result,25,47744,328.96,329.78,276.62,230.296,82.42,922.246,176.62,922.246,11.36,194.443,90.66,194.443,6200
2023/10/03 06:22:18.579,MyJetsonSc4,input,result,26,47745,302.87,303.37,294.68,230.521,71.52,922.246,209.75,922.246,9.68,200.523,93.96,200.523,6201
2023/10/03 06:22:18.854,MyJetsonSc4,input,result,27,47746,287.97,288.42,301.32,230.364,76.8,922.246,182.06,922.246,16.91,204.159,85.44,204.159,6202
2023/10/03 06:22:19.101,MyJetsonSc4,input,result,28,47747,359.3,359.27,276.12,230.532,64.78,922.246,162.38,922.246,10.18,201.659,87.28,201.659,6203
2023/10/03 06:22:19.369,MyJetsonSc4,input,result,29,47748,311.25,312.03,276.4,230.566,66.51,922.246,182.61,922.246,10.34,198.039,83.16,198.039,6204
