asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,decode time,size data decoded,process time,size data processed,encode time,size data encoded,send time,size data sent,offset sent
2023/10/03 06:22:11.111,MyFrameProducerSc2_4,None,input,1,-1,-1,42.7,46.72,921.761,3.2,922.246,186.51,230.549,0.01,230.549,18.07,230.549,47720
2023/10/03 06:22:11.337,MyFrameProducerSc2_4,None,input,2,-1,-1,0.01,9.22,921.761,0.56,922.246,227.74,230.538,0.01,230.538,10.66,230.538,47721
2023/10/03 06:22:11.602,MyFrameProducerSc2_4,None,input,3,-1,-1,0.01,15.61,921.761,0.69,922.246,257.13,230.462,0.01,230.462,13.46,230.462,47722
2023/10/03 06:22:11.889,MyFrameProducerSc2_4,None,input,4,-1,-1,0.02,13.27,921.761,1.1,922.246,279.33,230.311,0.01,230.311,14.51,230.311,47723
2023/10/03 06:22:12.139,MyFrameProducerSc2_4,None,input,5,-1,-1,0.01,8.56,921.761,0.6,922.246,240.53,230.522,0.01,230.522,19.23,230.522,47724
2023/10/03 06:22:12.439,MyFrameProducerSc2_4,None,input,6,-1,-1,0.02,11.72,921.761,1.69,922.246,295.37,230.343,0.01,230.343,14.04,230.343,47725
2023/10/03 06:22:12.724,MyFrameProducerSc2_4,None,input,7,-1,-1,0.02,5.51,921.761,0.67,922.246,276.25,230.546,0.01,230.546,10.09,230.546,47726
2023/10/03 06:22:13.079,MyFrameProducerSc2_4,None,input,8,-1,-1,0.02,58.0,921.761,0.57,922.246,335.62,230.542,0.01,230.542,30.79,230.542,47727
2023/10/03 06:22:13.289,MyFrameProducerSc2_4,None,input,9,-1,-1,0.02,6.68,921.761,0.86,922.246,211.8,230.491,0.01,230.491,18.6,230.491,47728
2023/10/03 06:22:13.524,MyFrameProducerSc2_4,None,input,10,-1,-1,0.02,6.11,921.761,0.73,922.246,231.97,230.568,0.01,230.568,17.17,230.568,47729
2023/10/03 06:22:13.778,MyFrameProducerSc2_4,None,input,11,-1,-1,0.02,26.48,921.761,0.74,922.246,240.97,230.29,0.01,230.29,23.95,230.29,47730
2023/10/03 06:22:14.074,MyFrameProducerSc2_4,None,input,12,-1,-1,0.02,9.56,921.761,0.9,922.246,295.01,230.471,0.01,230.471,11.31,230.471,47731
2023/10/03 06:22:14.351,MyFrameProducerSc2_4,None,input,13,-1,-1,0.02,12.76,921.761,0.71,922.246,228.22,230.533,0.01,230.533,52.01,230.533,47732
2023/10/03 06:22:14.623,MyFrameProducerSc2_4,None,input,14,-1,-1,0.02,6.33,921.761,0.72,922.246,280.48,230.42,0.01,230.42,33.39,230.42,47733
2023/10/03 06:22:14.970,MyFrameProducerSc2_4,None,input,15,-1,-1,0.02,10.47,921.761,0.75,922.246,355.5,230.443,0.01,230.443,19.28,230.443,47734
2023/10/03 06:22:15.243,MyFrameProducerSc2_4,None,input,16,-1,-1,0.02,6.59,921.761,0.76,922.246,258.04,230.262,0.01,230.262,27.7,230.262,47735
2023/10/03 06:22:15.555,MyFrameProducerSc2_4,None,input,17,-1,-1,0.02,8.48,921.761,0.96,922.246,320.0,230.47,0.01,230.47,13.08,230.47,47736
2023/10/03 06:22:15.773,MyFrameProducerSc2_4,None,input,18,-1,-1,0.01,20.9,921.761,0.53,922.246,215.24,230.493,0.01,230.493,10.65,230.493,47737
2023/10/03 06:22:16.027,MyFrameProducerSc2_4,None,input,19,-1,-1,0.02,9.33,921.761,0.76,922.246,231.32,230.572,0.01,230.572,27.51,230.572,47738
2023/10/03 06:22:16.386,MyFrameProducerSc2_4,None,input,20,-1,-1,0.02,8.44,921.761,9.89,922.246,357.29,230.191,0.02,230.191,12.21,230.191,47739
2023/10/03 06:22:16.790,MyFrameProducerSc2_4,None,input,21,-1,-1,0.02,7.4,921.761,1.11,922.246,384.06,230.515,0.02,230.515,25.91,230.515,47740
2023/10/03 06:22:16.954,MyFrameProducerSc2_4,None,input,22,-1,-1,0.02,20.64,921.761,0.66,922.246,175.83,230.457,0.01,230.457,8.74,230.457,47741
