asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,decode time,size data decoded,process time,size data processed,encode time,size data encoded,send time,size data sent,offset sent
2023/10/03 06:48:17.718,MyJetsonSc4,input,result,1,51438,177.23,181.37,13207.43,132.179,101.95,922.246,657.72,922.246,16.02,214.815,25.63,214.815,9268
2023/10/03 06:48:17.950,MyJetsonSc4,input,result,34,51471,62.27,62.72,20.54,134.204,5.22,922.246,205.22,922.246,10.91,226.795,29.95,226.795,9269
2023/10/03 06:48:18.148,MyJetsonSc4,input,result,43,51480,53.43,53.82,31.26,132.447,6.87,922.246,185.93,922.246,7.62,223.199,18.36,223.199,9270
2023/10/03 06:48:18.395,MyJetsonSc4,input,result,52,51489,61.0,61.82,20.76,133.226,7.41,922.246,203.98,922.246,10.04,223.775,35.32,223.775,9271
2023/10/03 06:48:18.585,MyJetsonSc4,input,result,62,51499,55.38,55.9,37.0,132.881,6.06,922.246,183.95,922.246,9.68,222.247,17.63,222.247,9272
2023/10/03 06:48:18.827,MyJetsonSc4,input,result,66,51503,148.15,148.82,0.18,132.751,6.4,922.246,212.04,922.246,9.59,221.715,24.68,221.715,9273
2023/10/03 06:48:19.043,MyJetsonSc4,input,result,74,51511,57.1,57.36,23.08,132.802,9.28,922.246,195.72,922.246,8.11,215.651,18.01,215.651,9274
2023/10/03 06:48:19.285,MyJetsonSc4,input,result,82,51519,30.49,31.33,11.57,131.134,6.54,922.246,214.98,922.246,10.91,217.291,21.0,217.291,9275
2023/10/03 06:48:19.508,MyJetsonSc4,input,result,88,51525,44.93,45.7,28.96,131.71,4.92,922.246,198.26,922.246,10.11,215.819,22.51,215.819,9276
2023/10/03 06:48:19.751,MyJetsonSc4,input,result,95,51532,73.31,74.0,14.87,132.959,6.28,922.246,202.82,922.246,20.38,213.755,27.39,213.755,9277
2023/10/03 06:48:19.967,MyJetsonSc4,input,result,103,51540,94.37,96.35,35.37,132.414,14.42,922.246,192.72,922.246,10.48,212.119,17.7,212.119,9278
2023/10/03 06:48:20.197,MyJetsonSc4,input,result,112,51549,38.14,38.5,16.17,131.601,6.75,922.246,206.78,922.246,9.38,210.403,16.92,210.403,9279
2023/10/03 06:48:20.430,MyJetsonSc4,input,result,121,51558,61.09,61.4,20.44,132.508,6.54,922.246,190.17,922.246,14.42,209.811,30.92,209.811,9280
2023/10/03 06:48:20.650,MyJetsonSc4,input,result,128,51565,78.15,78.37,24.99,131.666,14.67,922.246,199.1,922.246,8.29,207.359,18.05,207.359,9281
2023/10/03 06:48:20.862,MyJetsonSc4,input,result,139,51576,39.74,39.98,22.31,132.032,7.22,922.246,186.64,922.246,11.24,207.303,20.19,207.303,9282
2023/10/03 06:48:21.087,MyJetsonSc4,input,result,147,51584,60.61,61.44,26.89,132.215,9.02,922.246,201.18,922.246,10.18,206.443,17.65,206.443,9283
2023/10/03 06:48:21.301,MyJetsonSc4,input,result,158,51595,43.56,43.61,3.4,132.432,6.56,922.246,185.38,922.246,11.34,203.979,21.06,203.979,9284
2023/10/03 06:48:21.519,MyJetsonSc4,input,result,166,51603,62.05,62.76,18.95,132.471,6.23,922.246,197.35,922.246,10.47,209.303,17.87,209.303,9285
2023/10/03 06:48:21.744,MyJetsonSc4,input,result,175,51612,64.69,59.9,13.88,132.531,6.91,922.246,199.81,922.246,10.31,209.731,14.74,209.731,9286
2023/10/03 06:48:21.961,MyJetsonSc4,input,result,185,51622,57.49,58.18,17.66,132.282,6.46,922.246,189.48,922.246,7.71,210.967,21.24,210.967,9287
2023/10/03 06:48:22.165,MyJetsonSc4,input,result,191,51628,68.66,69.0,22.93,132.343,6.91,922.246,183.15,922.246,9.99,207.283,16.24,207.283,9288
2023/10/03 06:48:22.394,MyJetsonSc4,input,result,201,51638,35.7,36.0,23.63,132.319,5.58,922.246,193.72,922.246,10.53,205.623,28.01,205.623,9289
2023/10/03 06:48:22.558,MyJetsonSc4,input,result,210,51647,45.06,46.02,23.29,133.199,7.34,922.246,159.86,922.246,6.92,208.463,10.51,208.463,9290
2023/10/03 06:48:22.723,MyJetsonSc4,input,result,217,51654,56.52,57.28,1.16,131.13,3.93,922.246,156.24,922.246,7.33,203.795,3.11,203.795,9291
2023/10/03 06:48:23.282,MyJetsonSc4,input,result,218,51655,25.8,26.12,537.27,130.769,9.91,922.246,190.89,922.246,10.67,203.999,21.43,203.999,9292
2023/10/03 06:48:23.478,MyJetsonSc4,input,result,227,51664,59.78,60.07,27.3,131.537,6.85,922.246,172.19,922.246,9.82,208.467,22.34,208.467,9293
2023/10/03 06:48:23.699,MyJetsonSc4,input,result,236,51673,55.52,56.44,9.09,132.817,7.98,922.246,193.62,922.246,10.86,201.395,18.94,201.395,9294
