asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,decode time,size data decoded,process time,size data processed,encode time,size data encoded,send time,size data sent,offset sent
2023/10/03 05:14:08.792,MyJetsonSc4,input,result,1,29020,34.47,36.07,2695.53,921.761,0.91,922.246,386.78,922.246,10.05,219.983,23.89,219.983,2773
2023/10/03 05:14:09.025,MyJetsonSc4,input,result,21,29040,38.86,39.55,27.3,921.761,0.82,922.246,218.8,922.246,11.09,227.251,16.8,227.251,2774
2023/10/03 05:14:09.298,MyJetsonSc4,input,result,31,29050,58.62,59.03,11.84,921.761,0.95,922.246,242.32,922.246,12.15,231.875,19.14,231.875,2775
2023/10/03 05:14:09.524,MyJetsonSc4,input,result,41,29060,67.69,67.88,19.35,921.761,0.89,922.246,220.87,922.246,9.53,231.811,11.54,231.811,2776
2023/10/03 05:14:09.760,MyJetsonSc4,input,result,51,29070,46.0,46.93,31.66,921.761,0.6,922.246,211.04,922.246,14.12,231.099,17.75,231.099,2777
2023/10/03 05:14:09.996,MyJetsonSc4,input,result,58,29077,95.28,67.98,17.13,921.761,3.47,922.246,212.37,922.246,11.0,221.235,19.22,221.235,2778
2023/10/03 05:14:10.241,MyJetsonSc4,input,result,68,29087,62.26,62.36,18.69,921.761,0.86,922.246,236.19,922.246,9.12,219.231,10.04,219.231,2779
2023/10/03 05:14:10.524,MyJetsonSc4,input,result,78,29097,94.91,80.62,34.11,921.761,0.62,922.246,232.17,922.246,22.94,220.095,30.9,220.095,2780
2023/10/03 05:14:10.765,MyJetsonSc4,input,result,87,29106,110.89,103.03,14.45,921.761,1.48,922.246,229.23,922.246,13.23,221.007,19.51,221.007,2781
2023/10/03 05:14:11.008,MyJetsonSc4,input,result,92,29111,82.49,77.23,37.92,921.761,0.93,922.246,215.64,922.246,11.7,215.683,23.78,215.683,2782
2023/10/03 05:14:11.242,MyJetsonSc4,input,result,102,29121,76.86,68.69,11.55,921.761,0.65,922.246,219.6,922.246,9.87,217.567,19.66,217.567,2783
2023/10/03 05:14:11.494,MyJetsonSc4,input,result,113,29132,74.59,75.16,17.88,921.761,2.54,922.246,228.57,922.246,10.52,216.983,22.19,216.983,2784
2023/10/03 05:14:11.745,MyJetsonSc4,input,result,124,29143,74.08,68.74,19.48,921.761,0.84,922.246,235.56,922.246,9.28,218.539,18.79,218.539,2785
