asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,decode time,size data decoded,process time,size data processed,encode time,size data encoded,send time,size data sent,offset sent
2023/10/03 05:14:08.353,MyFrameProducerSc2_4,None,input,1,-1,-1,104.56,139.03,921.761,3.56,922.246,4.68,921.761,0.01,921.761,25.84,921.761,29020
2023/10/03 05:14:08.376,MyFrameProducerSc2_4,None,input,2,-1,-1,2.54,19.41,921.761,0.83,922.246,4.32,921.761,0.01,921.761,34.3,921.761,29021
2023/10/03 05:14:08.413,MyFrameProducerSc2_4,None,input,3,-1,-1,3.13,14.35,921.761,0.91,922.246,7.5,921.761,0.01,921.761,53.52,921.761,29022
2023/10/03 05:14:08.421,MyFrameProducerSc2_4,None,input,4,-1,-1,6.1,21.1,921.761,2.1,922.246,5.87,921.761,0.01,921.761,40.85,921.761,29023
2023/10/03 05:14:08.431,MyFrameProducerSc2_4,None,input,5,-1,-1,5.99,19.32,921.761,5.27,922.246,11.32,921.761,0.01,921.761,19.79,921.761,29024
2023/10/03 05:14:08.461,MyFrameProducerSc2_4,None,input,6,-1,-1,6.38,38.43,921.761,0.54,922.246,6.42,921.761,0.01,921.761,25.1,921.761,29025
2023/10/03 05:14:08.470,MyFrameProducerSc2_4,None,input,7,-1,-1,3.25,13.87,921.761,0.76,922.246,7.0,921.761,0.01,921.761,17.71,921.761,29026
2023/10/03 05:14:08.477,MyFrameProducerSc2_4,None,input,8,-1,-1,0.66,13.19,921.761,0.56,922.246,8.35,921.761,0.01,921.761,10.63,921.761,29027
2023/10/03 05:14:08.501,MyFrameProducerSc2_4,None,input,9,-1,-1,11.01,25.0,921.761,0.55,922.246,4.6,921.761,0.01,921.761,12.4,921.761,29028
2023/10/03 05:14:08.519,MyFrameProducerSc2_4,None,input,10,-1,-1,6.13,15.59,921.761,0.59,922.246,4.7,921.761,0.01,921.761,14.05,921.761,29029
2023/10/03 05:14:08.542,MyFrameProducerSc2_4,None,input,11,-1,-1,7.26,17.29,921.761,0.54,922.246,7.72,921.761,0.01,921.761,16.45,921.761,29030
2023/10/03 05:14:08.574,MyFrameProducerSc2_4,None,input,12,-1,-1,7.08,20.08,921.761,1.6,922.246,5.43,921.761,0.01,921.761,27.26,921.761,29031
2023/10/03 05:14:08.600,MyFrameProducerSc2_4,None,input,13,-1,-1,4.99,20.85,921.761,0.87,922.246,5.68,921.761,0.01,921.761,28.49,921.761,29032
2023/10/03 05:14:08.617,MyFrameProducerSc2_4,None,input,14,-1,-1,7.98,21.71,921.761,3.24,922.246,2.08,921.761,0.02,921.761,20.8,921.761,29033
2023/10/03 05:14:08.633,MyFrameProducerSc2_4,None,input,15,-1,-1,7.0,25.03,921.761,2.84,922.246,1.74,921.761,0.0,921.761,18.26,921.761,29034
2023/10/03 05:14:08.654,MyFrameProducerSc2_4,None,input,16,-1,-1,6.72,15.59,921.761,1.19,922.246,1.45,921.761,0.02,921.761,25.46,921.761,29035
2023/10/03 05:14:08.667,MyFrameProducerSc2_4,None,input,17,-1,-1,8.48,16.28,921.761,4.89,922.246,0.81,921.761,0.01,921.761,17.55,921.761,29036
2023/10/03 05:14:08.688,MyFrameProducerSc2_4,None,input,18,-1,-1,9.04,18.66,921.761,0.72,922.246,6.62,921.761,0.01,921.761,15.48,921.761,29037
2023/10/03 05:14:08.706,MyFrameProducerSc2_4,None,input,19,-1,-1,3.17,15.56,921.761,0.98,922.246,1.49,921.761,0.01,921.761,20.84,921.761,29038
2023/10/03 05:14:08.723,MyFrameProducerSc2_4,None,input,20,-1,-1,8.03,16.57,921.761,0.69,922.246,1.97,921.761,0.01,921.761,21.29,921.761,29039
2023/10/03 05:14:08.742,MyFrameProducerSc2_4,None,input,21,-1,-1,14.56,22.88,921.761,0.6,922.246,9.69,921.761,0.01,921.761,8.91,921.761,29040
2023/10/03 05:14:08.782,MyFrameProducerSc2_4,None,input,22,-1,-1,21.41,26.31,921.761,1.37,922.246,2.25,921.761,0.01,921.761,17.87,921.761,29041
2023/10/03 05:14:08.811,MyFrameProducerSc2_4,None,input,23,-1,-1,0.02,15.74,921.761,1.64,922.246,4.42,921.761,0.01,921.761,34.95,921.761,29042
2023/10/03 05:14:08.828,MyFrameProducerSc2_4,None,input,24,-1,-1,9.33,25.1,921.761,0.89,922.246,4.99,921.761,0.01,921.761,29.3,921.761,29043
2023/10/03 05:14:08.852,MyFrameProducerSc2_4,None,input,25,-1,-1,20.53,32.12,921.761,0.71,922.246,4.71,921.761,0.01,921.761,22.72,921.761,29044
2023/10/03 05:14:08.873,MyFrameProducerSc2_4,None,input,26,-1,-1,9.89,18.46,921.761,1.22,922.246,9.33,921.761,0.01,921.761,16.38,921.761,29045
2023/10/03 05:14:08.894,MyFrameProducerSc2_4,None,input,27,-1,-1,0.55,17.59,921.761,0.71,922.246,8.32,921.761,0.01,921.761,23.64,921.761,29046
2023/10/03 05:14:08.918,MyFrameProducerSc2_4,None,input,28,-1,-1,7.09,16.94,921.761,3.92,922.246,3.0,921.761,0.01,921.761,26.12,921.761,29047
2023/10/03 05:14:08.939,MyFrameProducerSc2_4,None,input,29,-1,-1,6.88,22.61,921.761,4.11,922.246,5.18,921.761,0.01,921.761,26.22,921.761,29048
2023/10/03 05:14:08.956,MyFrameProducerSc2_4,None,input,30,-1,-1,8.73,19.85,921.761,0.72,922.246,4.26,921.761,0.01,921.761,20.93,921.761,29049
2023/10/03 05:14:08.987,MyFrameProducerSc2_4,None,input,31,-1,-1,8.64,20.51,921.761,0.84,922.246,1.96,921.761,0.01,921.761,34.12,921.761,29050
2023/10/03 05:14:09.008,MyFrameProducerSc2_4,None,input,32,-1,-1,6.8,19.26,921.761,1.08,922.246,15.79,921.761,0.01,921.761,23.33,921.761,29051
2023/10/03 05:14:09.053,MyFrameProducerSc2_4,None,input,33,-1,-1,12.81,35.86,921.761,0.71,922.246,7.64,921.761,0.01,921.761,41.16,921.761,29052
2023/10/03 05:14:09.081,MyFrameProducerSc2_4,None,input,34,-1,-1,16.13,16.43,921.761,0.93,922.246,7.02,921.761,0.01,921.761,39.28,921.761,29053
